abbr,name,population,violentCrime,violentRate,homicide,homicideRate,propertyCrime,propertyRate,year,violentChange,propertyChange
DC,District of Columbia,702250,7061,1005.5,179,25.49,25937,3693.4,2024,-11.9,-13.3
AK,Alaska,740133,5359,724.1,51,6.89,12665,1711.2,2024,-1.3,-9.1
NM,New Mexico,2130256,15276,717.1,224,10.52,58605,2751.1,2024,-4.0,-4.3
TN,Tennessee,7227750,42807,592.3,571,7.9,146876,2032.1,2024,-6.9,-14.4
AR,Arkansas,3088354,17893,579.4,226,7.32,59591,1929.5,2024,-7.0,-13.7
LA,Louisiana,4597740,23900,519.8,495,10.77,105583,2296.4,2024,-7.5,-11.8
CA,California,39431263,191641,486.0,1782,4.52,819559,2078.4,2024,-4.1,-10.6
CO,Colorado,5957493,28378,476.3,270,4.53,154466,2592.8,2024,-1.8,-11.3
MO,Missouri,6245466,28857,462.0,486,7.78,121238,1941.2,2024,-1.9,-10.0
KS,Kansas,2970606,13033,438.7,114,3.84,58116,1956.4,2024,-6.4,-16.3
SC,South Carolina,5478831,23927,436.7,409,7.47,107701,1965.8,2024,-8.5,-11.6
MI,Michigan,10140459,44043,434.3,529,5.22,139823,1378.9,2024,-5.8,-11.6
MT,Montana,1137233,4816,423.5,31,2.73,18392,1617.3,2024,-5.6,-12.3
OK,Oklahoma,4095393,17316,422.8,256,6.25,80996,1977.7,2024,1.1,-8.4
AZ,Arizona,7582384,31991,421.9,374,4.93,135883,1792.1,2024,-2.7,-7.0
MD,Maryland,6263220,26330,420.4,448,7.15,128369,2049.6,2024,-4.5,-4.5
NV,Nevada,3267467,13135,402.0,199,6.09,71786,2197.0,2024,-7.3,-13.5
TX,Texas,31290831,121845,389.4,1616,5.16,638482,2040.5,2024,-4.4,-8.5
NY,New York,19867248,75528,380.2,541,2.7199999999999998,341627,1719.5,2024,-2.8,-4.6
NC,North Carolina,11046024,41511,375.8,832,7.53,217402,1968.1,2024,-4.5,-5.0
SD,South Dakota,924669,3350,362.3,43,4.65,14665,1586.0,2024,2.9,-2.3
DE,Delaware,1051917,3795,360.8,60,5.7,18364,1745.8,2024,-8.4,-9.8
AL,Alabama,5157699,18561,359.9,450,8.72,80721,1565.1,2024,-13.7,-16.2
OR,Oregon,4272371,14143,331.0,158,3.7,102026,2388.0,2024,-0.30000000000000004,-8.2
WA,Washington,7958180,25950,326.1,303,3.81,196288,2466.5,2024,-9.2,-14.7
GA,Georgia,11180878,36420,325.7,770,6.89,187263,1674.9,2024,-11.3,-10.8
MA,Massachusetts,7136171,22457,314.7,127,1.78,79362,1112.1,2024,-1.9,-0.6000000000000001
IN,Indiana,6924275,21669,312.9,381,5.5,95457,1378.6,2024,-8.5,-10.4
OH,Ohio,11883304,34898,293.7,598,5.03,184339,1551.2,2024,-2.5,-11.2
IL,Illinois,12710158,36756,289.2,732,5.76,218004,1715.2,2024,-6.3,0.5
WI,Wisconsin,5960975,16602,278.5,251,4.21,68794,1154.1,2024,-6.5,-6.7
FL,Florida,23372215,62423,267.1,900,3.85,331980,1420.4,2024,-8.7,-6.0
MN,Minnesota,5793151,14868,256.6,169,2.92,93054,1606.3,2024,-2.4,-5.9
ND,North Dakota,796568,2026,254.3,21,2.64,13399,1682.1,2024,-9.1,-13.5
WV,West Virginia,1769979,4404,248.8,94,5.31,20566,1161.9,2024,-7.5,-2.2
PA,Pennsylvania,13078751,32123,245.6,652,4.99,187680,1435.0,2024,-8.3,-8.3
IA,Iowa,3241488,7885,243.3,69,2.13,42034,1296.8,2024,-11.1,-9.6
ID,Idaho,2001619,4616,230.6,32,1.6,14737,736.3,2024,-4.1,-10.1
UT,Utah,3503613,8045,229.6,91,2.6,49361,1408.9,2024,-0.8,-12.9
NE,Nebraska,2005465,4423,220.5,42,2.09,32622,1626.7,2024,-5.2,-17.7
VT,Vermont,648493,1421,219.1,22,3.39,10554,1627.5,2024,1.4,-10.5
VA,Virginia,8811195,19200,217.9,421,4.78,138307,1569.7,2024,-9.8,-6.0
HI,Hawaii,1446146,3148,217.7,23,1.5899999999999999,28154,1946.8,2024,-6.2,-9.1
NJ,New Jersey,9500851,20684,217.7,223,2.35,135610,1427.3,2024,-3.4,-6.6
KY,Kentucky,4588372,9779,213.1,279,6.08,61938,1349.9,2024,-7.0,-13.5
MS,Mississippi,2943045,6194,210.5,217,7.37,40115,1363.0,2024,4.3,-14.0
WY,Wyoming,587618,1195,203.4,14,2.38,7239,1231.9,2024,5.0,-16.5
RI,Rhode Island,1112308,1708,153.6,23,2.07,11483,1032.4,2024,-8.3,-7.4
CT,Connecticut,3675069,4998,136.0,90,2.45,50205,1366.1,2024,-10.8,-12.7
NH,New Hampshire,1409032,1551,110.1,14,0.99,12935,918.0,2024,-4.3,0.7000000000000001
ME,Maine,1405012,1406,100.1,33,2.35,16047,1142.1,2024,-3.6,1.2
